name,ticker,sector
ABBOTT LABORATORIES,ABT,Health Care
ABBVIE INC,ABBV,Health Care
ACCENTURE PLC,ACN,Miscellaneous
ALIBABA GROUP HOLDING LTD,BABA,Miscellaneous
ALTRIA GROUP INC,MO,Consumer Non-Durables
AMERICAN EXPRESS CO,AXP,Finance
AMERICAN TOWER CORP,AMT,Consumer Services
ANTHEM INC,ANTM,Health Care
ASTRAZENECA PLC,AZN,Health Care
AT&T INC,T,Public Utilities
BANCO SANTANDER BRASIL SA,BSBR,Finance
BANCO SANTANDER CHILE,BSAC,Finance
BANCO SANTANDER MEXICO SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO SANTAND,BSMX,Finance
BANCO SANTANDER SA,BCDRF,Finance
BANK OF AMERICA CORP,BAC,Finance
BANK OF NOVA SCOTIA/THE,BNS,Finance
BECTON DICKINSON AND CO,BDX,Health Care
BLACKROCK INC,BLK,Finance
BRISTOL-MYERS SQUIBB CO,BMY,Health Care
BRITISH AMERICAN TOBACCO MALAYSIA BHD,BATMF,Consumer Non-Durables
BRITISH AMERICAN TOBACCO PLC,BTI,Consumer Non-Durables
CANADIAN NATIONAL RAILWAY CO,CNI,Transportation
CATERPILLAR INC,CAT,Capital Goods
CHINA LIFE INSURANCE CO LTD,LFC,Finance
CHINA PETROLEUM  CHEMICAL CORP,SNP,Energy
CITIGROUP INC,C,Finance
CVS HEALTH CORP,CVS,Health Care
DIAGEO PLC,DEO,Consumer Non-Durables
DOMINION ENERGY INC,D,Public Utilities
DUKE ENERGY CORP,DUK,Public Utilities
ELI LILLY AND CO,LLY,Health Care
ENBRIDGE INC,ENB,Energy
EQUINOR ASA,EQNR,Energy
ESTEE LAUDER COS INCTHE,EL,Consumer Non-Durables
EXXON MOBIL CORP,XOM,Energy
FIDELITY NATIONAL INFORMATION SERVICES INC,FIS,Miscellaneous
GENERAL ELECTRIC CO,GE,Energy
GLAXOSMITHKLINE PLC,GSK,Health Care
GOLDMAN SACHS GROUP INC/THE,GS,Finance
HOME DEPOT INCTHE,HD,Consumer Services
HONEYWELL INTERNATIONAL INC,HON,Capital Goods
HSBC HOLDINGS PLC,HSBC,Finance
JOHNSON & JOHNSON,JNJ,Health Care
JPMORGAN CHASE  CO,JPM,Finance
LOCKHEED MARTIN CORP,LMT,Capital Goods
MASTERCARD INC,MA,Miscellaneous
MEDTRONIC PLC,MDT,Health Care
MITSUBISHI UFJ FINANCIAL GROUP INC,MBFJF,Finance
MORGAN STANLEY,MS,Finance
NEXTERA ENERGY INC,NEE,Public Utilities
NIKE INC,NKE,Consumer Non-Durables
NOVARTIS AG,NVS,Health Care
NOVO NORDISK A/S,NVO,Health Care
PETROLEO BRASILEIRO SA,PBR,Energy
PFIZER INC,PFE,Health Care
PHILIP MORRIS INTERNATIONAL INC,PM,Consumer Non-Durables
PNC FINANCIAL SERVICES GROUP INC/THE,PNC,Finance
RIO TINTO PLC,RIO,Energy
ROYAL BANK OF CANADA,RY,Finance
SALESFORCE.COM INC,CRM,Technology
SAP SE,SAP,Technology
TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,TSM,Technology
THERMO FISHER SCIENTIFIC INC,TMO,Capital Goods
TOYOTA MOTOR CORP,TM,Capital Goods
UNILEVER NV,UN,Basic Industries
UNION PACIFIC CORP,UNP,Transportation
UNITED PARCEL SERVICE INC,UPS,Transportation
UNITED TECHNOLOGIES CORP,UTX,Capital Goods
UNITEDHEALTH GROUP INC,UNH,Health Care
